Country,Region
Austria,WE
Belgium,WE
Denmark,WE
Finland,WE
France,WE
Germany,WE
Greece,WE
Ireland,WE
Italy,WE
Netherlands,WE
Norway,WE
Portugal,WE
Spain,WE
Sweden,WE
Switzerland,WE
UK,WE
Bulgaria,EE
Czechoslovakia,EE
Hungary,EE
Poland,EE
Romania,EE
USSR,EE
Yugoslavia,EE
Argentina,LA
Bolivia,LA
Brazil,LA
Chile,LA
Colombia,LA
Costa Rica,LA
Cuba,LA
Dominican Republic,LA
Ecuador,LA
El Salvador,LA
Guatemala,LA
Haiti,LA
Honduras,LA
Mexico,LA
Nicaragua,LA
Panama,LA
Paraguay,LA
Peru,LA
Uruguay,LA
Venezuela,LA
China,As
India,As
Indonesia,As
Japan,As
Malaysia,As
Philippines,As
Thailand,As
Iran,ME
Iraq,ME
Israel,ME
Saudi Arabia,ME
Syria,ME
Turkey,ME
Algeria,Af
Congo DR,Af
Egypt,Af
Ethiopia Eritrea,Af
Libya,Af
Malawi,Af
Morocco,Af
Nigeria,Af
South Africa,Af
Tunisia,Af
Zambia,Af
Zimbabwe,Af
Canada,NA
USA,NA
Australia,O
New Zealand,O
