Country,modern_1850,norm_1850,modern_1950,norm_1950,modern_2000,norm_2000
Canada,0.034,0.03458799593082402,0.8380000000000001,0.8524923702950155,0.98,0.9969481180061038
Englandwales,0.917,0.9347604485219163,0.973,0.9918450560652394,0.971,0.9898063200815493
France,0.27,0.29443838604143946,0.8109999999999999,0.8844056706652125,0.897,0.9781897491821154
Germany,0.276,0.2854188210961737,0.9229999999999999,0.9544984488107547,0.946,0.9782833505687692
Italy,,,0.5539999999999999,0.5925133689839571,0.9309999999999999,0.9957219251336897
Netherland,0.18600000000000003,0.1907692307692308,0.9009999999999999,0.9241025641025641,0.91,0.9333333333333333
Portugal,,,0.311,0.37245508982035935,0.8320000000000001,0.9964071856287428
Spain,0.016,0.017334777898158182,0.614,0.6652221018418202,0.916,0.9924160346695559
Sweden,0.02,0.022321428571428575,0.732,0.8169642857142858,0.7290000000000001,0.8136160714285716
Uruguay,,,0.6859999999999999,0.8215568862275449,0.835,1.0
Japan,,,0.910506,0.910536,0.999914,0.999947
America,0.09291472210436998,0.09483701752835347,0.9536663502610347,0.9733965762100999,0.9770006301197227,0.9972136146497577
